"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06mlg*","PG","Tyler Kolek","NY","PG,G","Act","25","PHI Tue 4:00PM","1,500,000","2RK29","62",".435","0.7",".700","4.4","1.6","2.7","0.4","0.1","0.9"
"*05ujc*","G","Ayo Dosunmu","MIN","PG,SG,G,SF,F","Act","26","","12,000,000","2029","69",".517","1.8",".876","14.8","3.4","3.6","0.8","0.3","1.4"
"*05qu0*","PF","Jaden McDaniels","MIN","SF,PF,F","Act","25","","14,000,000","2028","73",".515","1.4",".835","14.8","4.2","2.7","1.1","1.0","1.8"
"*01eon*","F","DeMar DeRozan","DEN","SF,PF,F","Act","37","","22,500,000","2027","77",".497","0.6",".868","18.4","2.9","4.1","1.0","0.3","1.2"
"*03al2*","C","Joel Embiid","PHI","C","Act","32","@NY Tue 4:00PM","31,000,000","2028","38",".489","1.4",".854","26.9","7.7","3.9","0.6","1.2","2.9"

