"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06cc7*","SG","Brandin Podziemski","GS","SG,G,SF,F","Act","23","","6,000,000","1RK27","82",".455","1.9",".797","13.8","5.1","3.7","1.1","0.2","1.6"
"*06cc1*","G","Bilal Coulibaly","WAS","SG,G,SF,PF,F","Act","22","","6,500,000","1RK27","56",".425","1.2",".746","11.7","4.3","2.6","1.3","1.0","1.4"
"*03e6u*","SF","Bogdan Bogdanovic","HOU","SG,G,SF,F","Act","34","","5,000,000","2027","23",".388","1.4",".800","7.4","2.6","2.2","0.4","0.1","1.2"
"*05uir*","PF","Trey Murphy","NO","SG,G,SF,PF,F","Act","26","","32,000,000","2029","66",".470","3.2",".886","21.5","5.7","3.8","1.5","0.4","1.8"
"*05qt4*","F","Aaron Nesmith","IND","SF,PF,F","Act","26","","15,000,000","2028","45",".414","2.3",".829","13.8","4.2","1.9","0.6","0.5","1.4"
"*06cd4*","C","Toumani Camara","POR","PF,F,C","Act","26","","2,500,000","2RK28","82",".440","2.7",".708","13.4","5.1","2.5","1.1","0.4","1.8"
"*076tl*","Flx","Brayden Burries","MIL","SG,G","Act","20","","6,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"

