"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*05qu9*","PG","Immanuel Quickley","TOR","PG,SG,G","Act","27","","31,000,000","2028","70",".443","2.5",".821","16.4","4.0","5.9","1.3","0.1","1.5"
"*042nq*","SG","Dejounte Murray","NO","PG,SG,G","Act","29","","26,000,000","2029","14",".484","1.4",".867","16.7","5.4","6.4","1.6","0.2","3.4"
"*051ol*","G","Darius Garland","LAC","PG,G","Act","26","","37,000,000","2027","45",".460","2.7",".861","18.8","2.4","6.7","1.0","0.2","2.9"
"*06v5o*","SF","Liam McNeeley","CHA","SF,F","Min","20","","2,500,000","1RK29","31",".400","0.8",".821","4.3","2.4","0.8","0.2","0.1","0.4"
"*076td*","PF","Zuby Ejiofor","ATL","PF,F","Min","22","","2,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076tb*","PF","Allen Graves","TOR","PF,F","Min","20","","3,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"

