"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06mmc*","SG","Justin Edwards","PHI","SG,G,SF,PF,F","Act","22","@NY Tue 4:00PM","1,500,000","2RK29","64",".447","1.0",".846","6.0","1.5","1.3","0.8","0.2","0.6"
"*0623e*","G","Collin Gillespie","PHO","PG,G","Act","27","","4,000,000","2028","80",".418","2.9",".874","12.7","4.1","4.6","1.2","0.2","1.6"
"*076we*","SF","Michael Ajayi","CHA","SF,F","Act","23","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*051os*","F","P.J. Washington","DAL","SF,PF,F,C","Act","28","","22,000,000","2027","56",".450","1.4",".687","14.2","7.0","1.8","1.0","1.1","1.7"
"*04ex8*","G","Dillon Brooks","PHO","SG,G,SF,PF,F","Res","30","","7,000,000","2027","56",".435","2.3",".842","20.2","3.6","1.8","1.0","0.2","1.8"
"*0527h*","C","Naz Reid","CHA","PF,F,C","Res","27","","21,500,000","2027","77",".456","2.1",".732","13.6","6.2","2.2","1.0","1.0","1.6"

