"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*076t6*","PG","Darius Acuff","SAC","PG,G","Act","19","","8,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06v5k*","SG","VJ Edgecombe","PHI","SG,G","Act","21","@NY Tue 4:00PM","11,000,000","1RK29","75",".438","2.0",".818","16.0","5.6","4.2","1.4","0.5","1.8"
"*06v57*","SF","Ace Bailey","UTA","PG,SG,G,SF,F","Act","20","","9,000,000","1RK29","72",".443","1.9",".750","13.8","4.2","1.8","0.8","0.7","1.5"
"*05uie*","PF","Scottie Barnes","TOR","SF,PF,F,C","Act","25","","44,000,000","2029","80",".507","0.8",".815","18.1","7.5","5.9","1.4","1.4","2.6"
"*06y3q*","PG","Ryan Nembhard","ATL","PG,G","Res","23","","1,000,000","2RK30","60",".415","0.8",".806","6.6","2.2","5.3","0.4","0.0","1.4"
"*076t4*","Flx","Ebuka Okorie","DET","PG,G","Res","19","BOS Tue 12:00PM","3,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076ud*","G","Isaiah Evans","MIN","SG,G","Res","20","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06mkd*","F","Yves Missi","NO","PF,F,C","Res","22","","4,000,000","1RK28","66",".544","0.0",".559","5.7","5.8","1.3","0.3","1.5","0.8"
"*076u4*","G","Meleek Thomas","CLE","SG,G","Min","20","","3,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06v8h*","SF","Mohamed Diawara","NY","SF,F","Min","21","PHI Tue 4:00PM","1,000,000","2RK30","69",".423","0.7",".750","3.6","1.4","0.8","0.2","0.1","0.4"
"*076t3*","Flx","Karim Lopez","MEM","SF,F","Min","19","","2,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"

