"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06mk0*","PG","Rob Dillingham","CHI","PG,G","Act","21","","5,000,000","1RK28","65",".396","0.6",".745","6.3","2.0","2.2","0.7","0.1","1.5"
"*06ca8*","SG","Amen Thompson","HOU","PG,SG,G,SF,PF,F","Act","23","","11,500,000","1RK27","79",".534","0.3",".779","18.3","7.8","5.3","1.5","0.6","2.4"
"*05qto*","G","LaMelo Ball","MIN","PG,G","Act","25","","46,000,000","2027","72",".407","3.8",".899","20.1","4.8","7.1","1.2","0.2","2.8"
"*06v5n*","SF","Kon Knueppel","CHA","PG,SG,G,SF,F","Act","21","","8,000,000","1RK29","81",".475","3.4",".863","18.5","5.3","3.4","0.7","0.2","2.0"
"*05qtt*","PF","Onyeka Okongwu","ATL","PF,F,C","Act","25","","23,500,000","2027","74",".480","1.9",".757","15.2","7.6","3.1","1.1","1.1","1.7"
"*06mjz*","C","Donovan Clingan","POR","C","Act","22","","6,500,000","1RK28","77",".520","1.1",".680","12.1","11.6","2.1","0.6","1.7","1.2"
"*06mkc*","Flx","Jaylon Tyson","CLE","SG,G,SF,F","Act","23","","2,000,000","1RK28","66",".493","2.0",".738","13.2","5.1","2.2","0.8","0.4","1.5"
"*06mp4*","SG","Trey Alexander","UTA","SG,G","Min","23","","1,500,000","2RK29","9",".514","0.7",".600","5.2","1.2","1.0","0.7","0.2","0.3"
"*076uf*","PF","Tyler Bilodeau","BKN","PF,F","Min","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076t8*","PF","Jayden Quaintance","SA","PF,F","Min","19","OKC Tue 6:30PM","4,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"

