"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06ca3*","SG","Julian Strawther","DEN","SG,G,SF,F","Act","24","","2,500,000","2RK28","57",".467","1.0",".814","7.2","2.0","1.1","0.4","0.1","0.6"
"*06mll*","G","Jaylen Wells","MEM","SG,G,SF,F","Act","23","","1,500,000","2RK29","69",".431","1.9",".784","12.5","3.2","1.6","0.9","0.1","1.1"
"*05qtr*","SF","Devin Vassell","SA","SG,G,SF,F","Act","26","OKC Tue 6:30PM","27,000,000","2028","67",".437","2.5",".815","13.9","4.0","2.5","0.9","0.4","0.9"
"*04ewr*","PF","Kyle Kuzma","MIL","SF,PF,F","Act","31","","26,500,000","2027","69",".492","1.2",".726","13.0","4.5","2.7","0.7","0.4","1.7"
"*051oh*","F","Zion Williamson","NO","SF,PF,F","Act","26","","32,000,000","2027","62",".600","0.0",".716","21.0","5.7","3.2","1.0","0.5","2.0"
"*06ccu*","C","Tristan Vukcevic","WAS","C","Act","23","","4,500,000","1RK27","49",".479","1.0",".784","9.0","3.0","1.1","0.5","0.7","1.3"
"*06cch*","Flx","Victor Wembanyama","SA","C","Act","22","OKC Tue 6:30PM","14,500,000","1RK27","64",".512","1.9",".827","25.0","11.5","3.1","1.0","3.1","2.4"
"*001aw*","SG","Kevin Durant","HOU","SG,G,SF,PF,F","Res","37","","37,000,000","2027","78",".520","2.4",".874","26.0","5.5","4.8","0.8","0.9","3.2"
"*076tm*","SF","Nate Ament","MIL","SF,F","Min","19","","5,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"

