"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*0623a*","PG","Scotty Pippen","MEM","PG,G","Act","25","","17,000,000","2028","10",".448","1.0",".783","11.4","2.2","4.7","1.9","0.4","2.7"
"*049kb*","SG","De'Aaron Fox","SA","PG,SG,G","Act","28","OKC Tue 6:30PM","40,000,000","2027","72",".486","1.8",".760","18.6","3.8","6.2","1.2","0.3","2.3"
"*027oj*","G","Kyrie Irving","DAL","PG,SG,G","Act","34","","34,500,000","2027","0","0","0","0","0","0","0","0","0","0"
"*06v59*","SF","Will Riley","WAS","SF,F","Act","20","","1,000,000","2RK30","74",".439","1.1",".800","10.3","2.9","2.0","0.7","0.1","1.3"
"*06mk7*","PF","Kel'el Ware","MIL","PF,F,C","Act","22","","6,500,000","1RK28","77",".530","1.2",".740","11.1","9.0","0.7","0.8","1.1","0.8"
"*06v5w*","F","Nique Clifford","SAC","SG,G,SF,F","Act","24","","3,500,000","1RK29","75",".418","1.0",".722","8.6","3.8","2.4","0.9","0.3","1.5"
"*076t7*","C","Tarris Reed","SA","C","Act","23","OKC Tue 6:30PM","2,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06mkl*","Flx","Isaiah Collier","UTA","PG,SG,G","Act","21","","3,000,000","1RK28","59",".495","0.5",".722","11.7","2.5","7.2","1.1","0.3","2.5"
"*076t1*","SG","Dailyn Swain","CHI","SG,G","Res","21","","3,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076uj*","Flx","Emanuel Sharp","SAC","SG,G","Min","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076u2*","Flx","Dillon Mitchell","BOS","SF,F","Min","22","@DET Tue 12:00PM","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076ts*","Flx","Tyler Nickel","NY","SF,PF,F","Min","23","PHI Tue 4:00PM","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"

