"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*076u6*","PG","Braden Smith","IND","PG,G","Act","23","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*027oz*","SF","Kawhi Leonard","LAC","SF,PF,F","Act","35","","29,000,000","2027","65",".505","2.6",".892","27.9","6.4","3.6","1.9","0.4","2.0"
"*051p4*","F","Ty Jerome","MEM","SG,G,SF,F","Act","29","","10,500,000","2027","15",".474","2.8",".875","19.7","2.8","5.7","1.1","0.3","1.8"
"*05uj3*","C","Day'Ron Sharpe","BKN","C","Act","24","","9,000,000","2029","62",".601","0.1",".678","8.7","6.7","2.3","1.1","0.4","1.7"
"*0622k*","SF","Jabari Walker","PHI","SF,PF,F,C","Res","24","@NY Tue 4:00PM","3,500,000","2RK27","64",".455","0.5",".735","4.3","3.0","0.5","0.4","0.2","0.4"

