"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06v5p*","PG","Nolan Traore","BKN","PG,G","Act","20","","3,000,000","1RK29","56",".380","1.1",".787","8.9","1.8","3.8","0.8","0.4","2.3"
"*076th*","G","Christian Anderson","CHA","PG,G","Act","20","","3,000,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*051ox*","SF","Nickeil Alexander-Walker","ATL","PG,SG,G,SF,F","Act","28","","10,000,000","2029","78",".459","3.2",".902","20.8","3.4","3.7","1.3","0.5","2.1"
"*06ccd*","PF","Noah Clowney","BKN","PF,F,C","Act","22","","4,500,000","1RK27","66",".396","2.0",".804","12.3","4.1","1.6","0.8","0.7","1.5"
"*06mjx*","F","Ron Holland","DET","SF,PF,F","Act","21","BOS Tue 12:00PM","7,500,000","1RK28","78",".432","0.6",".805","8.2","4.0","1.2","1.2","0.3","1.2"
"*06227*","PG","Ryan Rollins","MIL","PG,SG,G","Res","24","","8,000,000","2028","74",".472","2.5",".796","17.3","4.6","5.6","1.5","0.4","2.7"
"*06mlr*","PG","Jamal Shead","TOR","PG,G","Res","24","","1,500,000","2RK29","82",".367","1.0",".784","6.6","1.7","5.4","0.9","0.2","1.4"
"*06v8e*","PG","Javon Small","MEM","PG,G","Min","23","","1,000,000","2RK30","41",".465","1.5",".829","9.7","3.1","3.7","0.8","0.2","1.4"
"*06v5t*","SG","Ben Saraf","BKN","SG,G","Min","20","","2,500,000","1RK29","44",".396","0.4",".830","7.5","2.1","3.3","0.9","0.2","2.3"
"*06mkj*","SG","Terrence Shannon","MIN","SG,G,SF,PF,F","Min","26","","1,500,000","2RK29","43",".450","0.7",".800","5.6","1.1","0.9","0.3","0.0","0.6"

