"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*05qsq*","SG","Tyrese Maxey","PHI","PG,SG,G","Act","25","@NY Tue 4:00PM","40,000,000","2028","70",".462","3.1",".892","28.3","4.1","6.6","1.9","0.8","2.4"
"*03lls*","G","Jaylen Brown","PHI","SG,G,SF,F","Act","29","@NY Tue 4:00PM","35,500,000","2027","71",".477","2.0",".795","28.7","6.9","5.1","1.0","0.4","3.6"
"*055qo*","SF","Caleb Martin","DAL","SF,F","Act","30","","2,000,000","2028","58",".450","0.3",".607","3.9","2.5","1.4","0.7","0.3","0.7"
"*06ca9*","SG","Jordan Hawkins","NO","SG,G","Res","24","","4,500,000","1RK27","51",".366","0.9",".852","5.1","1.7","0.8","0.3","0.2","0.7"

