"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*076wf*","PG","Kylan Boswell","CHA","PG,G","Act","21","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076t2*","SG","Cameron Carr","LAL","SG,G","Act","21","","3,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*076tv*","G","Jaden Bradley","TOR","PG,G","Act","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*076sx*","F","Yaxel Lendeborg","GS","SF,F","Act","23","","5,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*04qsd*","C","Mitchell Robinson","BOS","C","Act","28","@DET Tue 12:00PM","10,500,000","2027","60",".723","0.0",".408","5.7","8.8","0.9","0.9","1.2","0.7"
"*04ewn*","Flx","OG Anunoby","NY","SF,PF,F","Act","29","PHI Tue 4:00PM","30,000,000","2029","67",".484","2.3",".828","16.7","5.2","2.2","1.6","0.7","1.8"
"*06mlq*","SG","Pelle Larsson","MIA","SG,G,SF,F","Res","25","","1,500,000","2RK29","70",".496","0.9",".797","11.4","3.5","3.4","0.7","0.2","1.4"
"*076u0*","SF","Bryce Hopkins","DEN","SF,F","Res","23","","2,500,000","1RK30","0","0","0","0","0","0","0","0","0","0"
"*06y4e*","PF","CJ Huntley","PHO","SF,F","Res","24","","1,000,000","2RK30","4",".545","0.0","0","3.0","1.3","0.5","0.3","0.0","0.0"
"*05uj4*","C","Santi Aldama","DAL","PF,F,C","Res","25","","18,500,000","2028","43",".479","1.6",".667","14.0","6.7","2.9","0.9","0.7","1.3"
"*06mlh*","SF","Johnny Furphy","IND","SG,G,SF,F","IR","21","","2,000,000","1RK28","35",".470","0.7",".486","5.1","4.4","1.2","0.6","0.2","0.8"
"*06mlu*","F","Harrison Ingram","UTA","SF,F","Min","23","","1,500,000","2RK29","7",".833","0.1","0","1.6","0.4","0.1","0.0","0.0","0.1"
"*06v5u*","SF","Noa Essengue","CHI","PF,F","Min","19","","4,000,000","1RK29","2",".000","0.0","0","0.0","0.0","0.0","0.5","0.0","0.0"
"*06v72*","PF","Rasheer Fleming","PHO","PF,F","Min","22","","2,500,000","1RK29","55",".405","0.8",".559","4.3","2.3","0.3","0.4","0.4","0.5"

