"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06cac*","PG","Cason Wallace","OKC","PG,SG,G,SF,F","Act","22","@SA Tue 6:30PM","6,000,000","1RK27","77",".432","1.3",".809","8.6","3.1","2.6","1.9","0.4","0.9"
"*0621u*","SG","Andrew Nembhard","IND","PG,SG,G","Act","26","","3,500,000","2RK27","57",".442","1.9",".825","16.9","2.8","7.7","0.9","0.1","2.4"
"*05uib*","G","Cade Cunningham","DET","PG,SG,G","Act","24","BOS Tue 12:00PM","53,000,000","2029","64",".461","2.0",".812","23.9","5.5","9.9","1.4","0.8","3.7"
"*06ccf*","SF","Ausar Thompson","DET","SG,G,SF,PF,F","Act","23","BOS Tue 12:00PM","9,500,000","1RK27","73",".525","0.1",".571","9.9","5.7","3.1","2.0","0.9","1.5"
"*06cca*","PF","Brandon Miller","CHA","SG,G,SF,PF,F","Act","23","","10,500,000","1RK27","65",".435","3.1",".892","20.2","4.9","3.3","1.0","0.7","2.5"
"*06cab*","F","Jarace Walker","IND","SF,PF,F","Act","23","","8,500,000","1RK27","76",".419","1.8",".749","11.6","5.1","2.5","0.8","0.3","1.8"
"*06v88*","C","Maxime Raynaud","SAC","PF,F,C","Act","23","","2,500,000","1RK29","74",".571","0.3",".786","12.5","7.5","1.4","0.5","0.5","1.3"
"*076tp*","Flx","Tre Donaldson","MIA","PG,SG,G","Act","22","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06cc5*","PG","Anthony Black","ORL","PG,SG,G","Res","22","","8,000,000","1RK27","64",".447","1.6",".732","15.0","3.8","3.7","1.4","0.7","2.1"
"*06v5y*","SG","Dylan Harper","SA","PG,SG,G,SF,F","Min","20","OKC Tue 6:30PM","9,500,000","1RK29","69",".505","0.9",".756","11.8","3.4","3.9","0.8","0.3","1.4"
"*06v55*","SG","Kasparas Jakucionis","MIL","SG,G","Min","20","","4,500,000","1RK29","53",".429","1.2",".879","6.2","2.6","2.6","0.6","0.1","0.9"
"*06v5a*","PF","Collin Murray-Boyles","TOR","PF,F,C","Min","21","","5,500,000","1RK29","57",".579","0.3",".657","8.5","5.0","1.9","0.9","0.9","1.0"

