"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*0011e*","SF","LeBron James","PHI","SF,PF,F","Act","41","@NY Tue 4:00PM","33,000,000","2027","60",".515","1.3",".737","20.9","6.1","7.2","1.2","0.6","3.0"
"*06mju*","F","Alex Sarr","WAS","PF,F,C","Act","21","","11,500,000","1RK28","48",".482","1.0",".692","16.3","7.4","2.7","0.8","2.0","1.7"
"*051pb*","C","Nicolas Claxton","CHI","C","Act","27","","22,500,000","2029","69",".571","0.0",".616","11.7","6.9","3.7","0.7","1.1","1.4"
"*076ui*","SG","Richie Saunders","MEM","SG,G","Min","24","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06mke*","Flx","DaRon Holmes","DEN","PF,F,C","Min","24","","2,500,000","1RK28","25",".508","0.8",".786","3.7","1.4","0.6","0.0","0.2","0.5"

