"","Player"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","GP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*05uul*","PG","Jose Alvarado","NY","PG,G","Act","28","PHI Tue 4:00PM","2,500,000","2027","69",".416","1.5",".761","7.4","2.5","3.4","1.0","0.1","1.1"
"*04qrm*","SG","Collin Sexton","LAL","PG,SG,G","Act","27","","15,500,000","2027","68",".485","1.6",".855","15.4","2.3","3.3","1.1","0.1","2.1"
"*051oi*","G","Ja Morant","POR","PG,G","Act","27","","35,000,000","2027","20",".410","1.0",".897","19.4","3.3","8.1","1.0","0.3","3.5"
"*0496e*","SF","Alex Caruso","OKC","PG,SG,G,SF,F","Act","32","@SA Tue 6:30PM","14,500,000","2027","56",".423","0.9",".804","6.2","2.8","2.0","1.3","0.3","0.9"
"*05uiq*","PF","Alperen Sengun","HOU","PF,F,C","Act","24","","40,000,000","2029","72",".519","0.6",".691","20.4","8.9","6.2","1.2","1.1","3.2"
"*0621k*","F","Christian Braun","DEN","SG,G,SF,F","Act","25","","3,500,000","2RK27","44",".519","1.0",".782","12.0","4.8","2.7","0.7","0.3","1.0"
"*06v5h*","C","Derik Queen","NO","PF,F,C","Act","21","","4,500,000","1RK29","81",".473","0.3",".795","11.7","7.1","3.7","1.0","0.9","2.3"
"*06cc2*","Flx","Gradey Dick","TOR","SG,G,SF,F","Act","22","","6,000,000","1RK27","76",".419","0.7",".875","6.0","1.9","0.7","0.6","0.1","0.6"
"*06mkk*","Flx","Ryan Dunn","PHO","SF,PF,F","Res","23","","2,000,000","1RK28","70",".453","0.8",".489","5.8","4.2","1.5","0.9","0.4","0.8"
"*076ue*","PF","Trey Kaufman-Renn","MIN","PF,F","Res","24","","1,000,000","2RK31","0","0","0","0","0","0","0","0","0","0"
"*06mlo*","PG","KJ Simpson","DEN","PG,G","Min","24","","1,500,000","2RK29","20",".343","0.6",".611","4.5","1.9","2.1","0.8","0.0","1.3"
"*06v87*","PG","Koby Brea","PHO","SG,G","Min","23","","1,000,000","2RK30","12",".417","1.1","1.000","3.8","0.7","0.8","0.1","0.0","0.3"
"*06v5j*","SG","Jase Richardson","ORL","SG,G","Min","20","","3,000,000","1RK29","54",".473","0.5",".717","4.4","1.2","1.1","0.4","0.0","0.5"

