"ID","Player","Team","Position","Rookie","RkOv","Status","Age","Opponent","Salary","Contract","Score","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*051p7*","Mfiondu Kabengele","(N/A)","PF,F,C","","1165","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0393u*","Myck Kabongo","(N/A)","PG,G","","1166","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05ujy*","Georgios Kalaitzakis","(N/A)","SF,F","","1167","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04414*","Nikola Kalinic","(N/A)","SF,F","","1168","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06hrt*","Gabe Kalscheur","(N/A)","PG,SG,G","","1169","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06229*","Ismael Kamagate","(N/A)","C","","1171","FA","25","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03nwo*","Frank Kaminsky","(N/A)","C","","1172","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*027p2*","Enes Kanter","(N/A)","C","","1173","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06pst*","Kylor Kelley","(N/A)","C","","1177","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*02j7d*","D.J. Kennedy","(N/A)","SG,G,SF,F","","1178","FA","36","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05ycx*","Braxton Key","(N/A)","SF,F","","1179","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*074lu*","Tyreke Key","(N/A)","SG,G","","1180","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*052ld*","Stanton Kidd","(N/A)","PF,F","","1181","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*02nf2*","Michael Kidd-Gilchrist","(N/A)","SF,F","","1182","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06376*","Sacha Killeya-Jones","(N/A)","SF,PF,F","","1183","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03lg0*","Sean Kilpatrick","(N/A)","PG,SG,G","","1184","FA","36","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04qsz*","George King","(N/A)","SG,G,SF,F","","1185","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059qc*","Louis King","(N/A)","SF,F","","1186","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06ces*","Mojave King","(N/A)","SG,G","","1187","FA","24","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059cl*","V.J. King","(N/A)","SG,G","","1188","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06hif*","Taevion Kinsey","(N/A)","PG,SG,G","","1189","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0663u*","Noah Kirkwood","(N/A)","PG,SG,G","","1190","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0665a*","Reggie Kissoonlal","(N/A)","SF,PF,F","","1191","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*027or*","Brandon Knight","(N/A)","PG,SG,G","","1192","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qts*","Nathan Knight","(N/A)","PF,F","","1193","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*049kh*","Kevin Knox","(N/A)","SF,F","","1194","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04jw9*","Bronson Koenig","(N/A)","SG,G","","1195","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059cb*","Sagaba Konate","(N/A)","SF,F","","1196","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06q9l*","Miller Kopp","(N/A)","SF,PF,F","","1197","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05ujv*","Balsa Koprivica","(N/A)","C","","1198","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*042nl*","Furkan Korkmaz","(N/A)","SG,G","","1199","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
